"Image Name","PID","Session Name","Session#","Mem Usage","Status","User Name","CPU Time","Window Title"
"System Idle Process","0","Services","0","4 K","Unknown","NT AUTHORITY\SYSTEM","1365:23:38","N/A"
"System","4","Services","0","187,364 K","Unknown","N/A","3:42:36","N/A"
"smss.exe","468","Services","0","1,104 K","Unknown","N/A","0:00:00","N/A"
"csrss.exe","560","Services","0","5,464 K","Unknown","N/A","0:00:09","N/A"
"wininit.exe","660","Services","0","4,864 K","Unknown","N/A","0:00:00","N/A"
"services.exe","804","Services","0","10,036 K","Unknown","N/A","0:01:37","N/A"
"lsass.exe","816","Services","0","22,148 K","Unknown","N/A","0:03:40","N/A"
"svchost.exe","916","Services","0","31,208 K","Unknown","N/A","0:02:07","N/A"
"svchost.exe","980","Services","0","13,264 K","Unknown","N/A","0:02:27","N/A"
"svchost.exe","580","Services","0","78,024 K","Unknown","N/A","0:46:32","N/A"
"svchost.exe","520","Services","0","32,420 K","Unknown","N/A","0:00:43","N/A"
"svchost.exe","904","Services","0","23,812 K","Unknown","N/A","0:02:14","N/A"
"svchost.exe","1100","Services","0","65,452 K","Unknown","N/A","0:41:12","N/A"
"svchost.exe","1108","Services","0","12,500 K","Unknown","N/A","0:03:16","N/A"
"svchost.exe","1116","Services","0","25,040 K","Unknown","N/A","0:02:44","N/A"
"atiesrxx.exe","1244","Services","0","4,832 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","1452","Services","0","62,508 K","Unknown","N/A","0:06:11","N/A"
"spoolsv.exe","1812","Services","0","21,452 K","Unknown","N/A","0:00:16","N/A"
"TdmService.exe","2012","Services","0","11,400 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2212","Services","0","30,180 K","Unknown","N/A","0:01:50","N/A"
"jhi_service.exe","2236","Services","0","5,260 K","Unknown","N/A","0:00:00","N/A"
"IPROSetMonitor.exe","2244","Services","0","4,480 K","Unknown","N/A","0:00:00","N/A"
"Connect.Service.ContentService.exe","2280","Services","0","33,160 K","Unknown","N/A","0:11:35","N/A"
"AppleMobileDeviceService.exe","2304","Services","0","11,124 K","Unknown","N/A","0:03:04","N/A"
"svchost.exe","2332","Services","0","7,620 K","Unknown","N/A","0:00:00","N/A"
"AdAppMgrSvc.exe","2344","Services","0","21,372 K","Unknown","N/A","0:00:33","N/A"
"mDNSResponder.exe","2356","Services","0","6,060 K","Unknown","N/A","0:00:31","N/A"
"mqsvc.exe","2408","Services","0","10,996 K","Unknown","N/A","0:00:00","N/A"
"svchost.exe","2448","Services","0","8,216 K","Unknown","N/A","0:00:00","N/A"
"mitsijm.exe","2552","Services","0","5,840 K","Unknown","N/A","0:00:00","N/A"
